JD RV eRV
2450602.01139576 -0.766560178176936 1.26884956160264
2450602.95647017 -3.72145146418706 1.19191031740966
2450604.0017 1.36829551078384 1.7
2450604.96684172 1.26099465035364 1.33979476363215
2450605.95574215 -1.47342470826071 1.25373871013727
2450606.99606285 1.41884777761069 1.29768062349665
2450607.86098 0.581822723902005 1.75316856006489
2450609.02068 0.870650380514924 1.86075253593808
2450610.11484276 -0.312759979613465 1.51201032969767
2450665.8355 3.96136695063299 1.55206314304541
2450954.99624 0.715738612233932 2.20988687493274
2450981.87418 -1.13789490106262 1.70883000909979
2450982.88569 -0.734783698664643 1.59511755052723
2450984.02388 1.05969483073394 1.75316856006489
2451009.86528 2.76539411504808 1.7
2451011.84227 -0.568774602318869 1.72652830848498
2451012.82292 -0.927531422161295 1.74427635425124
2451013.82429 -3.4637952521723 1.5179262169157
2451050.80938 4.47214181697808 1.72652830848498
2451051.82196 2.45114068520932 1.76207264322445
2451068.79946 0.108866712555303 1.5179262169157
2451069.81397 1.02954002861544 1.54350251052598
2451070.82905298 1.35275837670986 1.16742278753911
2451071.79981479 -0.467083571452951 1.23724494616217
2451072.790292 5.95418140609011 1.21580222913378
2451073.82866056 -1.11175069064713 1.10267968186753
2451074.775 -0.945488359834441 1.5179262169157
2451228.15524 -1.41519243266929 1.75316856006489
2451229.14388 1.93128810963464 1.74427635425124
2451311.03688 -0.213681438434615 2.38799078725191
2451312.01389 1.72556297828865 2.68208873827843
2451313.04021 -0.400155645774102 2.37857099957096
2451341.02147 2.34882859739451 1.71767284428671
2451341.90061 -0.486766711851768 1.59511755052723
2451367.84914 1.44850827803699 1.93328735577513
2451368.83909 -0.191897696896544 1.75316856006489
2451370.00729 1.53499469992541 1.7353962083628
2451370.90907 -0.248734642385747 1.61245154965971
2451371.90501 -1.49284321346434 1.84271538768199
2451409.85442 0.177532746215589 1.50096635538576
2451410.8342 -1.50637895287491 1.5179262169157
2451411.84208 -1.4959190101281 1.77991572834222
2451438.73354 -0.389986050958787 1.5864740779477
2451680.06566 4.79781867104947 2.48243831746128
2451702.98234 0.160762876684791 1.84271538768199
2451703.97018 -0.150461431874414 1.75316856006489
2451705.01536 -2.20168403497817 1.8969449122207
2451705.94735 2.77889602603879 1.76207264322445
2452007.12157 -0.819888850013815 1.86978608402138
2452097.94112 0.546801091045424 1.96977156035922
2452133.76779 2.20325652882562 2.14478437144623
2452445.92377 0.31193133722422 1.97891384350103
2452537.79383 1.53610026136987 2.01556443707464
2452777.11632 1.37430171224743 2.03393706883964
2452834.85156 -0.295188501645488 2.02474689776278
2453072.13873 1.54746113214025 1.90601678901315
2453180.89628 0.813652561048426 1.86075253593808
2453181.89036 -1.13693560736434 1.80676506497109
2453195.82664 0.762044533141199 1.83371208208922
2453237.89109 3.01171376782756 1.91509790872425
2453301.74204 1.92426949359982 1.85172892184574
2453550.91339067 -2.05053915712191 1.27482411313401
2453602.85251626 0.69185751809403 1.33059604226235
2453807.1256057 -0.903828933123257 1.28250652399948
2453926.95874307 -3.51576938637075 1.40430831315394
2453933.85065044 -2.32749001645275 1.37698039219793
2453934.81932493 -0.854153832872736 1.30325457068532
2453960.89900841 -1.09572888123312 1.41867317280477
2453961.85907232 -1.11159316561567 1.36394760202122
2453962.78850014 -2.39144910716197 1.39074119228219
2453963.8327338 -3.47995282864749 1.39268876947312
2454247.0349 -0.243424099748065 1.80676506497109
2454248.12638 1.98074387523826 2.22854212434946
2454249.97027 -0.544758726193502 1.79780421625938
2454251.01231 0.256705588415468 1.5179262169157
2454251.97399 0.691604633040298 1.76207264322445
2454256.00550307 4.03971806566856 1.26673099926029
2454277.91484 -0.659973958388141 2.08
2454278.97111 0.479536977783244 2.16335387766311
2454285.97595992 -1.65622608752008 1.52155029954443
2454294.98802 1.65932538084813 1.68237926758505
2454304.96059 -0.91847448797146 1.91509790872425
2454305.96227 0.680002623854239 1.80676506497109
2454306.93872 0.949785074559544 1.87882942280559
2454307.98903 0.790009843377391 1.66481230173254
2454308.95786 -1.25532466250397 1.90601678901315
2454309.95411 -2.85195435176846 1.70883000909979
2454310.94662 -0.289389122690529 1.68237926758505
2454311.94464 0.152064789110621 1.59511755052723
2454312.94022 2.22440818604217 1.62114157308978
2454313.93723 -0.873367402934848 1.79780421625938
2454314.97792 -2.58500721677821 1.77991572834222
2454335.85352931 1.99853009824542 1.26676787063595
2454336.88714 -1.13238739533947 1.5864740779477
2454337.83452 -1.61454186190089 1.7353962083628
2454338.88034 -0.784942990395345 1.56923548264752
2454343.81304 -2.37192647378431 1.59511755052723
2454344.93705 -2.80215573440314 1.76207264322445
2454396.70932 -1.15704168148298 1.65604951616792
2454397.71094 -0.157929899069248 1.62114157308978
2454399.73488 -4.30576756565464 2.01556443707464
2454633.89999 -2.69969188235612 1.77098842458103
2454717.75225 1.88810495315642 1.83371208208922
2454718.75463 -2.15866997388742 1.68237926758505
2454719.77178 -0.0740783053258829 1.69118301789014
2454723.75848 1.63864477705577 1.47566933965574
2454724.76413 0.433952918786566 1.77991572834222
2454930.0562 -1.40251163189206 1.93328735577513
2455463.82729336 -2.89474711171303 1.08453353374544
2455607.13942 -0.794602028676376 1.75316856006489
2455608.1255 -1.37004561457216 1.65604951616792
2455609.16581 -0.264706811559985 1.76207264322445
2455614.15954 0.417120954596507 1.72652830848498
2455634.09232 -1.51936016267963 1.5864740779477
2455635.11458 -1.4830958285053 1.62984661855035
2455636.15043 -4.31504233810166 1.52643375224737
2455637.1206 0.102234261730326 1.69118301789014
2455638.0751 -2.36912451595098 1.53495928284759
2455665.02443 -1.31434420186384 1.55206314304541
2455668.0309 2.06938192949309 1.7
2455670.05167 -0.923684560144373 1.77991572834222
2455671.06971 -1.63525304835729 1.57784663386528
2455671.996 0.410107078185861 1.55206314304541
2455672.97787 -0.913739344917291 1.64730082255792
2455673.96678 0.146596548679268 1.62984661855035
2455697.12781 1.27445756356261 1.57784663386528
2455697.88552 -1.62970458287729 1.65604951616792
2455699.88262 -0.0313592818952356 1.68237926758505
2455704.86933 -3.7000815857325 1.62114157308978
2455705.86311 -0.678081463498022 1.46727638841494
2455706.85376 -1.59423234100173 1.61245154965971
2455707.86373 4.45223934363893 1.9423954283307
2455720.02477 0.59499668053865 1.65604951616792
2455723.02287 1.79702094631254 1.71767284428671
2455723.87029 2.29825088371517 1.63856644662339
2455726.94425 0.360022189571448 1.60377679244962
2455733.83426 1.32367514854184 1.7
2455734.88248 0.373772174584068 1.54350251052598
2455735.84993 -0.272844423694462 1.49251465654445
2455749.97873 2.33669802231226 1.78885438199983
2455751.77095 1.37612332592022 1.70883000909979
2455752.7645 -0.193723078630722 1.72652830848498
2455759.77037 -2.8477382338811 1.61245154965971
2455760.76052 -1.09635626335814 1.55206314304541
2455761.79157 -1.4282218935547 1.66481230173254
2455762.83271 1.27082335282364 1.49251465654445
2455763.77752 -5.13742345022556 1.70883000909979
2455768.75479 -0.20190132390082 1.46727638841494
2455769.76487 -0.39831757252792 1.5179262169157
2455770.7719 2.27802990052934 1.62984661855035
2455781.75977 -0.0878789545091836 1.55206314304541
2455787.8874 -0.652425680880538 1.77098842458103
2455788.91751 1.46413522157987 1.79780421625938
2455789.78086 -1.59617633269295 1.7
2455790.84818 0.675702912782347 1.5864740779477
2455791.90215 0.67964579401611 1.7353962083628
2455792.85422 -0.877399905918784 1.56064089399195
2455793.72985 -1.70568772969671 1.59511755052723
2455794.78554 -0.468202006332471 1.7353962083628
2455795.88831 0.7130803313134 1.53495928284759
2455796.73302 1.21352498540801 1.59511755052723
2455797.74539 -1.15474295817329 1.43391073641284
2455798.84563 0.595951811274956 1.61245154965971
2455806.80618 2.04837336982327 1.97891384350103
2455808.81412 -2.09162902078719 1.97891384350103
2455809.8823 1.83174944238631 1.66481230173254
2455810.88909 -0.689014340652978 1.47566933965574
2455811.83292 2.65553979258005 1.43391073641284
2455814.7225 0.464001830971368 1.46727638841494
2455824.75763 -0.49162849163929 1.79780421625938
2455839.74705 3.32497176873907 1.62984661855035
2455841.77226 -2.53603361728216 1.80676506497109
2455843.70702 1.51984692233925 1.62114157308978
2455850.71302 3.95519472733272 1.67358895789856
2455851.70715 0.701895257610801 1.5864740779477
2455992.15676 0.363254733142548 1.67358895789856
2455995.11402 1.58120751338841 1.93328735577513
2456000.09182 0.342390154739789 1.68237926758505
2456019.00553 3.88261061813548 2.14478437144623
2456020.0085 -2.48585075106013 1.77098842458103
2456073.86262 3.86026436954474 1.77991572834222
2456114.7638249 -0.342200524546057 1.29969446821722
2456166.73653 -4.51983706839395 2.08
2456195.73666 1.02202863459068 1.68237926758505
2456473.78591 -3.22416581459348 1.82471915647313
2456506.75994 0.638629442542685 1.40089257261219
